# Constructed from biom file
#OTU ID	AGOS38P1A0	AGOS42P6A0	AGOS44P4A0	AGOS46P1A0	AGOS48P4A0	AGOS56P1A0	AGOS57P4A0	AGOS58P6A0	AGOS60P3A0	CONS37P4A0	CONS39P1A0	CONS41P1A0	CONS43P5A0	CONS45P2A0	CONS47P6A0	CONS49P6A0	CONS51P3A0	CONS52P4A0	CONS55P5A0	CONS59P1A0	CONS61P4A0	CONS62P1A0
GLCMANNANAUT-PWY	4553.473387077347	8311.070026420908	6258.284819889551	14226.917530996056	7887.798305298721	8148.529427908113	3304.3130395424955	7737.112848178626	5643.161439924371	6089.600831915574	5246.3000242576645	6983.5760742102675	3434.1581468124914	4447.786944113192	12846.005595381212	4662.505491466035	4149.375587147218	6765.259911193104	6096.684540700232	5016.407252674291	8362.946774061447	8656.097142379867
GLUCARDEG-PWY	552.9300695313287	591.5825477506032	395.9018919787415	1053.1683407755474	447.68927589806435	857.3481303738898	366.2653729082997	1076.9951927328461	515.3497013074793	712.683344681613	471.0844761085484	379.9612752746681	374.61679720307	442.7998203597584	963.1888348291112	575.122142099658	454.9557982693777	336.052798688942	334.268817862972	409.4015557582056	1369.3931258081936	478.6834268229291
GLUCARGALACTSUPER-PWY	338.0690449294118	464.7964047021213	263.86141610078874	603.0568864739071	264.2431606464283	673.621724313205	183.46872365242987	628.5400716464824	271.15401291827044	439.9299236769287	260.90258408402616	256.87693368881247	204.4552092809278	257.01839434803594	492.50228627642366	332.7200813725663	230.5907725707993	184.33475999995682	208.16037993308632	225.00976813589796	259.836983132361	332.83162596365224
GLUCONEO-PWY	7489.282788000363	14406.970110085724	11600.727058091958	19889.690633717895	11286.305607805029	9709.570038135942	7418.196813235842	12393.638348542085	10582.086143397668	10766.385238637318	8593.274987273877	9586.422614645975	6678.130788094225	7952.887116865401	17349.320912363124	8232.835678454125	6837.303026838679	8948.989750059425	7803.366436923367	6574.6232826323	11782.570574523597	12963.008900956575
GLUCOSE1PMETAB-PWY	579.5978465069223	651.0964859493537	427.47644412710076	470.0784968998351	225.18152967322357	546.2156210967095	367.8412190693904	505.8618580697206	323.2449166337022	802.0293242717099	269.76925707541574	249.1319941126041	266.69202827259244	362.5228969620341	443.919437638365	419.5337269763272	326.61004858878715	175.99763650534524	341.3605856051889	319.2007466649224	2523.216281176147	375.002373528842
GLUCUROCAT-PWY	3456.1417120772767	9501.962730972104	7395.235621638788	11943.61747553947	6875.927504746187	4829.439320326827	3706.228136471136	5876.381787992454	6730.8176677168185	6238.2291208705	6173.596611886971	5613.181856631321	3491.9083212115715	3976.5874114945736	8007.708688789247	4137.9818290537205	4142.910146893984	5025.653826781371	4140.84337887133	3961.617061052441	4350.1893664721765	9348.279956924049
GLUTORN-PWY	6252.919274291493	12393.318229709601	11608.110800223241	17853.95127633626	10526.33829395511	8259.70803799241	7152.88450155184	10274.851717331987	9884.611102961473	10315.457405325145	8458.811761913985	8902.841687062875	6172.100037803018	7545.394379423096	13761.42403167548	7304.52813288139	6545.397038144289	7943.267365379419	6695.641572733405	5515.14640802418	10128.719925287267	13963.985172841478
GLYCOCAT-PWY	9775.451108138603	20529.217551675978	15609.460181366328	31211.112095949407	17161.990194491147	15264.850902736887	9082.28781286806	17103.215239674526	14773.56569776962	14057.884606422836	13710.005956097197	15284.861768607916	8244.04865009133	10742.537169497838	26746.436281605667	11208.36325345372	9412.5418076374	13473.052758346937	12076.106510400838	10259.821477814017	17041.738420423088	20244.161885165104
GLYCOGENSYNTH-PWY	9553.37385972668	19318.337930993697	14476.349741787186	28298.77166287037	15918.693602953212	14169.42513237717	8472.856898962174	15733.29464349152	13504.367222892814	14265.180503545758	12621.619449705728	13753.342308307734	8087.124266932285	10434.290673439107	24121.000708010888	10510.034416082874	8735.015328653091	11938.657045746111	10859.461903684163	9287.548291230654	15300.832719364656	18221.02625488533
GLYCOL-GLYOXDEG-PWY	200.7462242520418	571.2213331841143	240.32997252023867	617.068655683571	273.6683380825824	703.8765198250582	387.286719488437	478.92071057658046	214.76356249085214	389.7198987835419	263.5070480507429	230.65858095831726	193.0556204580577	203.7509166365672	388.00188306658976	232.4231060900927	155.1227048509391	490.72029894054833	230.57609852979692	167.7187027310366	413.88765504280724	233.63396615180932
